106 LONCHERA MEDIANA
107 LONCHERA PEQUEÑA
111 CRISPETERA MINI
115 CAJA BOLSA MINI CORAZON
116 CAJA PLEGADIZA MINI CON VENTANA
126 CAJA POSTRERA PEQUEÑA 
129 CAJA FRESAS PEQUEÑA 
131 CAJA CORDON
134 CAJA POSTRERA MINI
135 CAJA GALLETERA PEQUE
139 CAJA GALLETERA
140 CAJA MULTIFUNCIONAL
141 CAJA SENCILLA MULTIFUNCIONAL
154 CAJA BRAZO DE REINA
156 CAJA GALLETERA MINI
160 CAJA 20X20X10
181 CAJA BOTELLA PEQUE
182 CAJA GALLETERA CHIP PEQUEÑA
185- CAJA CORAZON
185-2 CAJA CORAZON VISOR
186 CAJA GRANDE
188 CAJA FRESA X6
195 CAJA INFANTIL
197 CAJA JOYERO
203 CAJA 20X20X10
206-2 CAJA BOTELLA LARGA
212 CAJA POSTRERA LARGA
AIRPACK 1 LIBRA X20UD
AIRPACK 2 LIBRA X20UD
ALCOHOL ANTICEPTICO X3600ML
ALCOHOL ANTISEP JGB 700ML
ALCOHOL JGB 120ML
ALCOHOL JGB X300ML
AROMATICA X24 SOBRES ZUIN
AROMATICA X50 SOBRES ZUIN
ATOMIZADOR  PET  250ML
ATOMIZADOR 500 ML + CREMERA X UD
ATOMIZADOR PET 120ML
ATOMIZADOR PET 150ML
ATOMIZADOR PET X1000ML
AZUCAR SOBRE X200UD
BANDEJA #1 1 1/2 X20UD
BANDEJA 3-1  X500UD
BANDEJA BIODEGRADABLE C-1 X20UD
BANDEJA BIODEGRADABLE J-1 X20UD
BANDEJA HONDA 34-2.5 CHAMPIÑONERA X200UD
BANDEJA J-1 X20UD DARN
BANDEJA J-2 X20UD DARN
BANDEJA N°1 X 20UD DARN
BANDEJA N°1 X 40UD DARN
BANDEJA N°17 X 20UD DARN
BANDEJA N°17 X 40UD DARN
BANDEJA N°7 X 20UD DARN
BANDEJA N°7 X 40UD DARN
BANDEJA N°8 X 20UD DARN
BANDEJA P-1 X 20UD DARN
BANDEJA P-3 X 20UD DARN
BANDEJA WAVE TERMICA C-1 X20UD DARN 
BANDEJA WAVE TERMICA J-1 X20UD DARN
BANDEJA WAVE TERMICA P-1 X20UD DARN
BASE 1/2 ONZ ACMELEON
BASE 17 DOMO 10 CIRCULAR DARN
BASE 20.5 X12CM DOMO12 RECTANGULAR - MEDIO BRASO
BASE 22 DOMO 12 CIRCULAR DARN
BASE 28CM HONDA - DOMO 12CM X UD
BASE 34X14,5CM DOMO12 RECTANGULAR - BRASO COMP
"BASE CIRC ICOPOR ""BLONDA"" 22 X10UD"
"BASE CIRC ICOPOR ""BLONDA""13 X10UD"
"BASE CIRC ICOPOR ""BLONDA""13 X10UD"
"BASE CIRC ICOPOR ""BLONDA""15 X10UD"
"BASE CIRC ICOPOR ""BLONDA""17 X10UD"
"BASE CIRC ICOPOR ""BLONDA""24.5 X10UD"
"BASE CIRC ICOPOR ""BLONDA""27 X10UD"
"BASE CIRC ICOPOR ""BLONDA""30 X10UD"
"BASE CIRC ICOPOR ""BLONDA""31 X10UD"
"BASE CIRC ICOPOR ""BLONDA""36 X10UD"
"BASE CIRC ICOPOR ""BLONDA""42 XUD"
BATA DESECHABLE XUD
BLONDA 59X37 XUD
BLONDA DORADA 18 XUD
BLONDA DORADA 22 XUD
BLONDA DORADA 27 XUD
BLONDA DORADA 30 XUD
BLONDA DORADA 9,5 XUD
BOLSA ALUMINIZADA L-17
BOLSA ALUMINIZADA L-19 X100UD
BOLSA ALUMINIZADA L-21 X100UD
BOLSA ALUMINIZADA L-23 X100UD
BOLSA ALUMINIZADA L-25 X100UD
BOLSA ALUMINIZADA L-32 X100UD
BOLSA ALUMINIZADA L-35 X100UD
BOLSA ALUMINIZADA P-25 X100UD
BOLSA AUTOSELLANTE 10X20
BOLSA AUTOSELLANTE 14X10
BOLSA AUTOSELLANTE 14X14
BOLSA AUTOSELLANTE 14X22
BOLSA AUTOSELLANTE 15X20 X100UD
BOLSA AUTOSELLANTE 18X20
BOLSA AUTOSELLANTE 18X22
BOLSA AUTOSELLANTE 20X18 X100UD
BOLSA AUTOSELLANTE 20X30 X100UD
BOLSA AUTOSELLANTE 24X20 X100UD
BOLSA AUTOSELLANTE 3X4 X100UD
BOLSA AUTOSELLANTE 5X5 X100UD
BOLSA AUTOSELLANTE 5X9 X100UD
BOLSA AUTOSELLANTE 6X9 X100UD
BOLSA AUTOSELLANTE 8X10 X100UD
BOLSA BAGUETTE PRECORTE X 1,000
BOLSA BAGUETTE X100UD
BOLSA BASURA 22' X 6UD
